PassengerId,Survived_preds,Survived_probs
892,0,0.1477
893,0,0.4951
894,0,0.2101
895,0,0.1432
896,1,0.5312
897,0,0.1432
898,1,0.5214
899,0,0.2837
900,1,0.6355
901,0,0.2034
902,0,0.1333
903,0,0.2911
904,1,0.9421
905,0,0.2206
906,1,0.7974
907,1,0.813
908,0,0.2189
909,0,0.1636
910,0,0.4426
911,1,0.6489
912,0,0.3581
913,0,0.1577
914,1,0.7794
915,0,0.3209
916,1,0.8886
917,0,0.2034
918,1,0.9477
919,0,0.1636
920,0,0.304
921,0,0.1998
922,0,0.2206
923,0,0.2335
924,0,0.4685
925,0,0.415
926,0,0.3581
927,0,0.1502
928,0,0.3983
929,0,0.3983
930,0,0.1432
931,0,0.236
932,0,0.399
933,0,0.304
934,0,0.1333
935,1,0.757
936,1,0.7974
937,0,0.1432
938,0,0.3435
939,0,0.1477
940,1,0.9612
941,0,0.4685
942,0,0.3186
943,0,0.1974
944,1,0.8202
945,1,0.8818
946,0,0.1974
947,0,0.1585
948,0,0.1333
949,0,0.1333
950,0,0.2034
951,1,0.9612
952,0,0.1333
953,0,0.2206
954,0,0.1333
955,1,0.6164
956,0,0.4315
957,1,0.757
958,1,0.6164
959,0,0.304
960,0,0.3435
961,1,0.8118
962,1,0.6164
963,0,0.1333
964,0,0.4426
965,0,0.3435
966,1,0.9612
967,0,0.4566
968,0,0.1432
969,1,0.7772
970,0,0.2206
971,1,0.6164
972,0,0.3758
973,0,0.4108
974,0,0.2911
975,0,0.1333
976,0,0.2419
977,0,0.1998
978,1,0.6164
979,0,0.3983
980,1,0.6164
981,0,0.2708
982,1,0.5462
983,0,0.1333
984,1,0.8054
985,0,0.1432
986,0,0.3134
987,0,0.1333
988,1,0.8792
989,0,0.1432
990,0,0.4951
991,0,0.1432
992,1,0.9344
993,0,0.2206
994,0,0.1477
995,0,0.1333
996,1,0.5892
997,0,0.2034
998,0,0.1477
999,0,0.1477
1000,0,0.1432
1001,0,0.2206
1002,0,0.1974
1003,1,0.6164
1004,1,0.8423
1005,1,0.5214
1006,1,0.9421
1007,0,0.1998
1008,0,0.1636
1009,1,0.5312
1010,0,0.4382
1011,1,0.7777
1012,1,0.757
1013,0,0.1477
1014,1,0.9344
1015,0,0.1333
1016,0,0.1477
1017,1,0.5312
1018,0,0.1333
1019,1,0.6111
1020,0,0.2206
1021,0,0.1432
1022,0,0.1432
1023,0,0.3435
1024,0,0.2984
1025,0,0.1636
1026,0,0.1333
1027,0,0.1333
1028,0,0.1636
1029,0,0.2206
1030,0,0.3983
1031,0,0.2491
1032,0,0.415
1033,1,0.9421
1034,0,0.4315
1035,0,0.2206
1036,0,0.304
1037,0,0.2034
1038,0,0.304
1039,0,0.1432
1040,0,0.304
1041,0,0.2708
1042,1,0.9459
1043,0,0.1502
1044,0,0.2034
1045,0,0.4685
1046,0,0.2491
1047,0,0.1333
1048,1,0.9421
1049,0,0.4951
1050,0,0.304
1051,0,0.4685
1052,1,0.6164
1053,0,0.3758
1054,1,0.757
1055,0,0.1333
1056,0,0.2206
1057,1,0.5312
1058,0,0.3435
1059,0,0.2491
1060,1,0.7865
1061,0,0.3983
1062,0,0.1333
1063,0,0.1636
1064,0,0.2034
1065,0,0.1502
1066,0,0.2491
1067,1,0.7878
1068,1,0.7799
1069,0,0.3581
1070,1,0.7878
1071,1,0.9239
1072,0,0.2206
1073,0,0.4595
1074,1,0.7974
1075,0,0.1477
1076,1,0.8995
1077,0,0.2206
1078,1,0.7995
1079,0,0.1432
1080,0,0.433
1081,0,0.2206
1082,0,0.2206
1083,0,0.2911
1084,0,0.2274
1085,0,0.2189
1086,0,0.2837
1087,0,0.1333
1088,1,0.5194
1089,0,0.4951
1090,0,0.2436
1091,0,0.3983
1092,1,0.6111
1093,0,0.2274
1094,0,0.4566
1095,1,0.8202
1096,0,0.2436
1097,0,0.3134
1098,1,0.6164
1099,0,0.2436
1100,1,0.7865
1101,0,0.1333
1102,0,0.2034
1103,0,0.1333
1104,0,0.2481
1105,1,0.7777
1106,1,0.5796
1107,0,0.304
1108,1,0.6164
1109,0,0.4038
1110,1,0.8995
1111,0,0.1432
1112,1,0.7901
1113,0,0.1432
1114,1,0.7829
1115,0,0.1333
1116,1,0.7865
1117,1,0.6608
1118,0,0.1333
1119,1,0.6164
1120,0,0.2034
1121,0,0.2206
1122,0,0.2481
1123,1,0.7772
1124,0,0.1206
1125,0,0.1477
1126,0,0.4142
1127,0,0.1333
1128,0,0.4382
1129,0,0.1636
1130,1,0.7995
1131,1,0.9612
1132,1,0.7865
1133,1,0.7878
1134,1,0.5194
1135,0,0.1333
1136,0,0.2274
1137,0,0.304
1138,1,0.757
1139,0,0.2837
1140,1,0.7777
1141,1,0.6782
1142,1,0.7933
1143,0,0.1432
1144,0,0.498
1145,0,0.1432
1146,0,0.1432
1147,0,0.1333
1148,0,0.1477
1149,0,0.1432
1150,1,0.757
1151,0,0.1333
1152,0,0.2034
1153,0,0.1333
1154,1,0.7933
1155,1,0.5312
1156,0,0.2207
1157,0,0.1333
1158,0,0.2225
1159,0,0.1333
1160,0,0.3983
1161,0,0.1432
1162,0,0.4382
1163,0,0.1477
1164,1,0.9612
1165,1,0.6111
1166,0,0.1636
1167,1,0.7777
1168,0,0.2436
1169,0,0.2206
1170,0,0.2206
1171,0,0.2436
1172,0,0.3983
1173,0,0.2274
1174,1,0.6164
1175,1,0.6788
1176,1,0.5312
1177,0,0.1333
1178,0,0.1333
1179,0,0.4136
1180,0,0.1502
1181,0,0.1432
1182,0,0.304
1183,0,0.3022
1184,0,0.1502
1185,0,0.4067
1186,0,0.1432
1187,0,0.1333
1188,1,0.8798
1189,0,0.1998
1190,0,0.304
1191,0,0.1333
1192,0,0.1333
1193,0,0.1974
1194,0,0.2708
1195,0,0.1432
1196,1,0.6164
1197,1,0.8197
1198,0,0.461
1199,0,0.1803
1200,0,0.461
1201,1,0.5462
1202,0,0.1432
1203,0,0.1636
1204,0,0.1333
1205,1,0.6164
1206,1,0.9612
1207,1,0.6164
1208,0,0.498
1209,0,0.2436
1210,0,0.1333
1211,0,0.2335
1212,0,0.1333
1213,0,0.1502
1214,0,0.2206
1215,0,0.304
1216,1,0.9421
1217,0,0.1333
1218,1,0.8224
1219,0,0.4382
1220,0,0.2206
1221,0,0.2206
1222,1,0.7878
1223,0,0.3435
1224,0,0.1636
1225,1,0.6788
1226,0,0.1333
1227,0,0.2911
1228,0,0.2206
1229,0,0.3999
1230,0,0.2335
1231,0,0.1502
1232,0,0.2436
1233,0,0.1333
1234,0,0.26
1235,1,0.8995
1236,0,0.2274
1237,0,0.4951
1238,0,0.2206
