sepal_length,sepal_width,petal_length,petal_width,species_preds,species_probs
5.5,2.5,4.0,1.3,versicolor,0.9566826584735468
6.9,3.1,5.1,2.3,virginica,0.9652158557777851
5.1,2.5,3.0,1.1,versicolor,0.9470340275242726
4.4,2.9,,0.2,setosa,0.6230538309010315
5.9,3.0,5.1,1.8,virginica,0.7786731625405932
5.5,3.5,1.3,0.2,setosa,0.9562568385249001
5.6,,3.6,1.3,versicolor,0.938598018438511
6.5,3.0,5.2,2.0,virginica,0.9474184970834404
5.3,3.7,1.5,0.2,setosa,0.9611468873953639
5.1,3.4,1.5,,setosa,0.8043792464607101
6.1,2.8,4.0,1.3,versicolor,0.9751287484598076
5.5,2.4,3.7,1.0,versicolor,0.9757875991714801
7.7,3.0,6.1,2.3,virginica,0.9603771799763251
6.9,3.1,4.9,1.5,versicolor,0.7086970683218937
6.0,2.2,5.0,1.5,versicolor,0.5513300541473282
